StationCode,SampleID,FinalID,BAResult,DistinctCode,
402DLG000,402DLG000,Apedilum,1,,
402DLG000,402DLG000,Arrenurus,1,,
402DLG000,402DLG000,Aglaodiaptomus forbesi,1,,
402DLG000,402DLG000,Callibaetis,21,,
402DLG000,402DLG000,Simocephalus,30,,
402DLG000,402DLG000,Coenagrionidae,86,,
402DLG000,402DLG000,Corynoneura,2,,
402DLG000,402DLG000,Cricotopus,4,,
402DLG000,402DLG000,Cyprididae,112,,
402DLG000,402DLG000,Dero,26,,
402DLG000,402DLG000,Dicrotendipes,1,,
402DLG000,402DLG000,Enallagma,64,,
402DLG000,402DLG000,Haliplus,2,,
402DLG000,402DLG000,Haliplus,3,,
402DLG000,402DLG000,Helisoma,63,,
402DLG000,402DLG000,Nais,6,,
402DLG000,402DLG000,Ostracoda,4,Yes,
402DLG000,402DLG000,Oxyethira,1,,
402DLG000,402DLG000,Phaenopsectra,4,,
402DLG000,402DLG000,Physa,42,,
402DLG000,402DLG000,Piona,1,,
402DLG000,402DLG000,Tubificidae,5,,
404BFM002,404BFM002,Arctodiaptomus dorsalis,1,,
404BFM002,404BFM002,Callibaetis,1,,
404BFM002,404BFM002,Daphnia magna,264,,
404BFM002,404BFM002,Simocephalus,21,,
404BFM002,404BFM002,Alona,2,,
404BFM002,404BFM002,Corisella decolor,16,,
404BFM002,404BFM002,Corixidae,40,,
404BFM002,404BFM002,Cricotopus,1,,
404BFM002,404BFM002,Acanthocyclops trajani,10,,
404BFM002,404BFM002,Macrocyclops albidus,6,,
404BFM002,404BFM002,Cyprididae,2,,
404BFM002,404BFM002,Hyalella,61,,
404BFM002,404BFM002,Ostracoda,75,,
404BFM004,404BFM004,Bezzia/ Palpomyia,1,,
404BFM004,404BFM004,Arctodiaptomus dorsalis,9,,
404BFM004,404BFM004,Daphnia magna ,330,,
404BFM004,404BFM004,Simocephalus,7,,
404BFM004,404BFM004,Corisella decolor,18,,
404BFM004,404BFM004,Corixidae,18,,
404BFM004,404BFM004,Cricotopus,2,,
404BFM004,404BFM004,Acanthocyclops trajani,14,,
404BFM004,404BFM004,Macrocyclops albidus,4,,
404BFM004,404BFM004,Cyprididae,1,,
404BFM004,404BFM004,Dasyhelea,1,,
404BFM004,404BFM004,Dero,1,,
404BFM004,404BFM004,Hyalella,34,,
404BFM004,404BFM004,Ostracoda,72,,
404BFM004,404BFM004,Physa,3,,
404BFM004,404BFM004,Tanypus,1,,
404BFM004,404BFM004,Tubificidae,1,,
404BFM006,404BFM006,Arctodiaptomus dorsalis,2,,
404BFM006,404BFM006,Chironomus,1,,
404BFM006,404BFM006,Daphnia magna ,2,,
404BFM006,404BFM006,Simocephalus,8,,
404BFM006,404BFM006,Ceriodaphnia,2,,
404BFM006,404BFM006,Alona,5,,
404BFM006,404BFM006,Corisella decolor,116,,
404BFM006,404BFM006,Corixidae,58,,
404BFM006,404BFM006,Cricotopus,1,,
404BFM006,404BFM006,Acanthocyclops einslei,1,,
404BFM006,404BFM006,Acanthocyclops trajani,11,,
404BFM006,404BFM006,Macrocyclops albidus,5,,
404BFM006,404BFM006,Cyprididae,2,,
404BFM006,404BFM006,Dasyhelea,1,,
404BFM006,404BFM006,Dero,4,,
404BFM006,404BFM006,Dicrotendipes,3,,
404BFM006,404BFM006,Hyalella,54,,
404BFM006,404BFM006,Ostracoda,200,,
404BFM006,404BFM006,Physa,2,,
404BFM006,404BFM006,Tanypus,1,,
404BFM006,404BFM006,Tubificidae,10,,
404CRX000,404CRX000,Leptodiaptomus siciloides,2,,
404CRX000,404CRX000,Chironomus,4,,
404CRX000,404CRX000,Ceriodaphnia,2,,
404CRX000,404CRX000,Oligochaeta,8,Yes,
404CRX000,404CRX000,Ostracoda,495,,
404NFP000,404NFP000,Skistodiaptomus pallidus,11,,
404NFP000,404NFP000,Chironomus,19,,
404NFP000,404NFP000,Simocephalus,166,,
404NFP000,404NFP000,Coenagrionidae,9,,
404NFP000,404NFP000,Corynoneura,6,,
404NFP000,404NFP000,Cricotopus,19,,
404NFP000,404NFP000,Acanthocyclops einslei,35,,
404NFP000,404NFP000,Eucyclops elegans,2,,
404NFP000,404NFP000,Macrocyclops albidus,47,,
404NFP000,404NFP000,Mesocyclops edax,18,,
404NFP000,404NFP000,Dasyhelea,2,,
404NFP000,404NFP000,Dero,45,,
404NFP000,404NFP000,Dicrotendipes,1,,
404NFP000,404NFP000,Ephydridae,2,,
404NFP000,404NFP000,Ferrissia,17,,
404NFP000,404NFP000,Hyalella,29,,
404NFP000,404NFP000,Hydra,8,,
404NFP000,404NFP000,Oligochaeta,9,Yes,
404NFP000,404NFP000,Ostracoda,9,,
404NFP000,404NFP000,Physa,20,,
404NFP000,404NFP000,Piona,1,,
404NFP000,404NFP000,Tubificidae,13,,
404NFP000,404NFP000,Unionicolidae,2,,
404ZUN000,404ZUN000,Leptodiaptomus siciloides,6,,
404ZUN000,404ZUN000,Chironomus,1,,
404ZUN000,404ZUN000,Simocephalus,9,,
404ZUN000,404ZUN000,Ceriodaphnia,358,,
404ZUN000,404ZUN000,Acanthocyclops trajani,97,,
404ZUN000,404ZUN000,Ferrissia,1,,
404ZUN000,404ZUN000,Notonecta,2,,
404ZUN000,404ZUN000,Oligochaeta,1,Yes,
404ZUN000,404ZUN000,Ostracoda,2,,
404ZUN000,404ZUN000,Paranais litoralis,15,,
404ZUN000,404ZUN000,Piona,1,,
404ZUN000,404ZUN000,Sigara,1,,
404ZUN000,404ZUN000,Tubificidae,3,,
411HRL000,411HRL000,Apedilum,7,,
411HRL000,411HRL000,Chaetogaster diaphanus,1,,
411HRL000,411HRL000,Chironomus,2,,
411HRL000,411HRL000,Simocephalus,149,,
411HRL000,411HRL000,Alona,1,,
411HRL000,411HRL000,I.lyocryptus,1,,
411HRL000,411HRL000,Corisella decolor,10,,
411HRL000,411HRL000,Corixidae,62,,
411HRL000,411HRL000,Cricotopus,13,,
411HRL000,411HRL000,Acanthocyclops trajani,5,,
411HRL000,411HRL000,Macrocyclops albidus,5,,
411HRL000,411HRL000,Dero,113,,
411HRL000,411HRL000,Dicrotendipes,32,,
411HRL000,411HRL000,Ferrissia,2,,
411HRL000,411HRL000,Helisoma,1,,
411HRL000,411HRL000,Hyalella,5,,
411HRL000,411HRL000,Oligochaeta,8,Yes,
411HRL000,411HRL000,Ostracoda,11,,
411HRL000,411HRL000,Physa,21,,
411HRL000,411HRL000,Pristina leidyi,5,,
411HRL000,411HRL000,Procladius,8,,
411HRL000,411HRL000,Slavina appendiculata,4,,
411HRL000,411HRL000,Tanytarsus,5,,
411HRL000,411HRL000,Tubificidae,16,,
411MAD000,411MAD000,Chironomus,6,,
411MAD000,411MAD000,Simocephalus,89,,
411MAD000,411MAD000,Daphnia ambigua ,179,,
411MAD000,411MAD000,Ceriodaphnia,2,,
411MAD000,411MAD000,Corisella decolor,1,,
411MAD000,411MAD000,Corixidae,8,,
411MAD000,411MAD000,Cricotopus,2,,
411MAD000,411MAD000,Acanthocyclops einslei,7,,
411MAD000,411MAD000,Dero,51,,
411MAD000,411MAD000,Dicrotendipes,5,,
411MAD000,411MAD000,Dytiscidae,1,Yes,
411MAD000,411MAD000,Ferrissia,2,,
411MAD000,411MAD000,Glossiphoniidae,2,,
411MAD000,411MAD000,Haliplus,1,,
411MAD000,411MAD000,Helisoma,4,,
411MAD000,411MAD000,Hyalella,2,,
411MAD000,411MAD000,Libellulidae,1,,
411MAD000,411MAD000,Oligochaeta,1,Yes,
411MAD000,411MAD000,Oreodytes,1,,
411MAD000,411MAD000,Ostracoda,112,,
411MAD000,411MAD000,Physa,23,,
411MAD000,411MAD000,Tropisternus,2,,
411MAD000,411MAD000,Tubificidae,2,,
801ITR000,801ITR000,Aulodrilus,4,,
801ITR000,801ITR000,Chaetogaster diaphanus,2,,
801ITR000,801ITR000,Chironomus,1,,
801ITR000,801ITR000,Simocephalus,8,,
801ITR000,801ITR000,Corisella decolor,1,,
801ITR000,801ITR000,Corixidae,6,,
801ITR000,801ITR000,Cricotopus,2,,
801ITR000,801ITR000,Acanthocyclops einslei,1,,
801ITR000,801ITR000,Macrocyclops albidus,1,,
801ITR000,801ITR000,Dero,11,,
801ITR000,801ITR000,Dicrotendipes,12,,
801ITR000,801ITR000,Erpobdellidae,3,,
801ITR000,801ITR000,Helobdella stagnalis,3,,
801ITR000,801ITR000,Hyalella,162,,
801ITR000,801ITR000,Ostracoda,215,,
801ITR000,801ITR000,Physa,17,,
801ITR000,801ITR000,Procladius,1,,
801ITR000,801ITR000,Tubificidae,6,Yes,
801ITR000,801ITR000,Turbellaria,46,,
801LAG001,801LAG001,Ablabesmyia,5,,
801LAG001,801LAG001,Berosus,1,,
801LAG001,801LAG001,Bezzia/ Palpomyia,1,,
801LAG001,801LAG001,Aglaodiaptomus forbesi,114,,
801LAG001,801LAG001,Callibaetis,6,,
801LAG001,801LAG001,Chironomus,6,,
801LAG001,801LAG001,Alona,5,,
801LAG001,801LAG001,Simocephalus,66,,
801LAG001,801LAG001,Coenagrionidae,6,,
801LAG001,801LAG001,Colymbetes,2,,
801LAG001,801LAG001,Corisella decolor,15,,
801LAG001,801LAG001,Corixidae,28,,
801LAG001,801LAG001,Cricotopus,1,,
801LAG001,801LAG001,Microcyclops rubellus,1,,
801LAG001,801LAG001,Dasyhelea,1,,
801LAG001,801LAG001,Dero,53,,
801LAG001,801LAG001,Dicrotendipes,3,,
801LAG001,801LAG001,Helisoma,1,,
801LAG001,801LAG001,Helobdella stagnalis,9,,
801LAG001,801LAG001,Hyalella,119,,
801LAG001,801LAG001,Ischnura,1,,
801LAG001,801LAG001,Limnesia,2,,
801LAG001,801LAG001,Notonectidae,1,,
801LAG001,801LAG001,Ostracoda,20,,
801LAG001,801LAG001,Oxyethira,1,,
801LAG001,801LAG001,Paratanytarsus,1,,
801LAG001,801LAG001,Physa,23,,
801LAG001,801LAG001,Procladius,2,,
801LAG001,801LAG001,Psectrocladius,1,,
801LAG001,801LAG001,Tanytarsus,1,,
801LAG001,801LAG001,Tubificidae,10,Yes,
801LAG001,801LAG001,Unionicolidae,3,,
801LAG002,801LAG002,Anax,1,,
801LAG002,801LAG002,Aulodrilus,21,,
801LAG002,801LAG002,Bezzia/ Palpomyia,2,,
801LAG002,801LAG002,Buenoa,8,,
801LAG002,801LAG002,Aglaodiaptomus forbesi,131,,
801LAG002,801LAG002,Callibaetis,8,,
801LAG002,801LAG002,Simocephalus,49,,
801LAG002,801LAG002,Coenagrionidae,55,,
801LAG002,801LAG002,Corisella decolor,7,,
801LAG002,801LAG002,Corixidae,42,,
801LAG002,801LAG002,Cryptotendipes,1,,
801LAG002,801LAG002,Dero,14,,
801LAG002,801LAG002,Dicrotendipes,11,,
801LAG002,801LAG002,Enochrus,1,,
801LAG002,801LAG002,Erpobdellidae,1,,
801LAG002,801LAG002,Helobdella,1,Yes,
801LAG002,801LAG002,Helobdella stagnalis,12,,
801LAG002,801LAG002,Hyalella,108,,
801LAG002,801LAG002,Hydrachna,2,,
801LAG002,801LAG002,Hydrovatus,2,,
801LAG002,801LAG002,Ischnura,6,,
801LAG002,801LAG002,Ostracoda,2,,
801LAG002,801LAG002,Oxyethira,1,,
801LAG002,801LAG002,Procladius,6,,
801LAG002,801LAG002,Tanytarsus,4,,
801LAG002,801LAG002,Tropisternus,1,,
801LAG002,801LAG002,Tubificidae,5,Yes,
801LAG002,801LAG002,Unionicolidae,9,,
801LAG002,801LAG002,Zavrelimyia/ Paramerina,2,,
801LAG003,801LAG003,Ablabesmyia,1,,
801LAG003,801LAG003,Aulodrilus,24,,
801LAG003,801LAG003,Bezzia/ Palpomyia,2,,
801LAG003,801LAG003,Aglaodiaptomus forbesi,70,,
801LAG003,801LAG003,Callibaetis,26,,
801LAG003,801LAG003,Chironomus,1,,
801LAG003,801LAG003,Simocephalus,9,,
801LAG003,801LAG003,Coenagrionidae,19,,
801LAG003,801LAG003,Corisella decolor,8,,
801LAG003,801LAG003,Corixidae,76,Yes,
801LAG003,801LAG003,Corynoneura,1,,
801LAG003,801LAG003,Dero,31,,
801LAG003,801LAG003,Dicrotendipes,1,,
801LAG003,801LAG003,Erpobdellidae,4,,
801LAG003,801LAG003,Helobdella,1,Yes,
801LAG003,801LAG003,Helobdella stagnalis,11,,
801LAG003,801LAG003,Hyalella,154,,
801LAG003,801LAG003,Hydrachna,1,,
801LAG003,801LAG003,Ischnura,4,,
801LAG003,801LAG003,Ostracoda,5,,
801LAG003,801LAG003,Physa,1,,
801LAG003,801LAG003,Procladius,5,,
801LAG003,801LAG003,Tanytarsus,3,,
801LAG003,801LAG003,Tubificidae,16,Yes,
801LAG003,801LAG003,Unionicolidae,21,,
801LAG004,801LAG004,Ablabesmyia,3,,
801LAG004,801LAG004,Anax,2,,
801LAG004,801LAG004,Aulodrilus,6,,
801LAG004,801LAG004,Bezzia/ Palpomyia,1,,
801LAG004,801LAG004,Buenoa,6,,
801LAG004,801LAG004,Aglaodiaptomus forbesi,65,,
801LAG004,801LAG004,Callibaetis,12,,
801LAG004,801LAG004,Chironomus,11,,
801LAG004,801LAG004,Simocephalus,24,,
801LAG004,801LAG004,Alona,1,,
801LAG004,801LAG004,Coenagrionidae,39,,
801LAG004,801LAG004,Corisella decolor,15,,
801LAG004,801LAG004,Corixidae,27,,
801LAG004,801LAG004,Cricotopus,3,,
801LAG004,801LAG004,Dero,15,,
801LAG004,801LAG004,Dicrotendipes,5,,
801LAG004,801LAG004,Enallagma,1,,
801LAG004,801LAG004,Erpobdellidae,1,,
801LAG004,801LAG004,Helobdella stagnalis,8,,
801LAG004,801LAG004,Hyalella,181,,
801LAG004,801LAG004,Hydrovatus,1,,
801LAG004,801LAG004,Ischnura,10,,
801LAG004,801LAG004,Ostracoda,6,,
801LAG004,801LAG004,Parachironomus,3,,
801LAG004,801LAG004,Tanytarsus,9,,
801LAG004,801LAG004,Tramea,1,,
801LAG004,801LAG004,Tubificidae,32,Yes,
801LAG004,801LAG004,Unionicolidae,1,,
802MUR000,802MUR000,Calanoida,1,,
802MUR000,802MUR000,Callibaetis,1,,
802MUR000,802MUR000,Chironomus,58,,
802MUR000,802MUR000,Ceriodaphnia,77,,
802MUR000,802MUR000,Colymbetes,2,,
802MUR000,802MUR000,Corynoneura,1,,
802MUR000,802MUR000,Cricotopus,8,,
802MUR000,802MUR000,Acanthocyclops trajani,14,,
802MUR000,802MUR000,Dytiscidae,1,Yes,
802MUR000,802MUR000,Enochrus,4,,
802MUR000,802MUR000,Ischnura,4,,
802MUR000,802MUR000,Laccophilus,1,,
802MUR000,802MUR000,Ostracoda,7,,
802MUR000,802MUR000,Physa,315,,
802MUR000,802MUR000,Unionicolidae,1,,
903FOS000,903FOS000,Berosus,1,,
903FOS000,903FOS000,Leptodiaptomus siciloides,4,,
903FOS000,903FOS000,Arctodiaptomus dorsalis,2,,
903FOS000,903FOS000,Daphnia,392,,
903FOS000,903FOS000,Simocephalus,8,,
903FOS000,903FOS000,Corisella decolor,1,,
903FOS000,903FOS000,Corixidae,22,,
903FOS000,903FOS000,Acanthocyclops trajani,13,,
903FOS000,903FOS000,Eucyclops elegans,4,,
903FOS000,903FOS000,Macrocyclops albidus,4,,
903FOS000,903FOS000,Dero,4,,
903FOS000,903FOS000,Ostracoda,27,,
903FOS000,903FOS000,Trichocorixa,4,,
903FOS000,903FOS000,Tubificidae,5,,
903GJL000,903GJL000,Leptodiaptomus siciloides,82,,
903GJL000,903GJL000,Chironomus,4,,
903GJL000,903GJL000,Ceriodaphnia,206,,
903GJL000,903GJL000,Simocephalus,18,,
903GJL000,903GJL000,Alona,1,,
903GJL000,903GJL000,Corixidae,5,,
903GJL000,903GJL000,Acanthocyclops trajani,80,,
903GJL000,903GJL000,Dero,12,,
903GJL000,903GJL000,Dicrotendipes,6,,
903GJL000,903GJL000,Ferrissia,1,,
903GJL000,903GJL000,Hyalella,91,,
903GJL000,903GJL000,Limnophyes,1,,
903GJL000,903GJL000,Ostracoda,2,,
903GJL000,903GJL000,Parachironomus,1,,
903GJL000,903GJL000,Tubificidae,2,,
904AHC000,904AHC000,Ablabesmyia,2,,
904AHC000,904AHC000,Aeshnidae,3,,
904AHC000,904AHC000,Berosus,2,,
904AHC000,904AHC000,Buenoa,10,,
904AHC000,904AHC000,Callibaetis,3,,
904AHC000,904AHC000,Chironomus,2,,
904AHC000,904AHC000,Simocephalus,7,,
904AHC000,904AHC000,Corixidae,7,,
904AHC000,904AHC000,Dero,8,,
904AHC000,904AHC000,Dicrotendipes,6,,
904AHC000,904AHC000,Helisoma,1,,
904AHC000,904AHC000,Hesperocorixa,3,,
904AHC000,904AHC000,Hyalella,390,,
904AHC000,904AHC000,Hydra,5,,
904AHC000,904AHC000,Hydrachna,3,,
904AHC000,904AHC000,Ischnura,5,,
904AHC000,904AHC000,Ostracoda,1,,
904AHC000,904AHC000,Peltodytes,1,,
904AHC000,904AHC000,Physa,33,,
904AHC000,904AHC000,Piona,1,,
904AHC000,904AHC000,Procladius,1,,
904AHC000,904AHC000,Tanytarsus,2,,
904AHC000,904AHC000,Tubificidae,2,,
904PAR000,904PAR000,Buenoa,1,,
904PAR000,904PAR000,Leptodiaptomus siciloides,15,,
904PAR000,904PAR000,Callibaetis,7,,
904PAR000,904PAR000,Chironomus,101,,
904PAR000,904PAR000,Simocephalus,22,,
904PAR000,904PAR000,Ceriodaphnia,78,,
904PAR000,904PAR000,Colymbetes,7,,
904PAR000,904PAR000,Culicidae,1,,
904PAR000,904PAR000,Acanthocyclops trajani,11,,
904PAR000,904PAR000,Dasyhelea,3,,
904PAR000,904PAR000,Dero,26,,
904PAR000,904PAR000,Dicrotendipes,2,,
904PAR000,904PAR000,Dytiscidae,4,,
904PAR000,904PAR000,Hyalella,75,,
904PAR000,904PAR000,Laccophilus,2,,
904PAR000,904PAR000,Limnodrilus hoffmeisteri,1,,
904PAR000,904PAR000,Notonecta,1,,
904PAR000,904PAR000,Notonectidae,6,,
904PAR000,904PAR000,Oreodytes,6,,
904PAR000,904PAR000,Ostracoda,25,,
904PAR000,904PAR000,Physa,36,,
904PAR000,904PAR000,Sphaeromias,1,,
904PAR000,904PAR000,Tanypus,1,,
904PAR000,904PAR000,Tropisternus,1,,
904PAR000,904PAR000,Tubificidae,22,,
907SDR000,907SDR000,Anopheles,1,,
907SDR000,907SDR000,Aulodrilus,1,,
907SDR000,907SDR000,Caloparyphus/ Euparyphus,1,,
907SDR000,907SDR000,Chironomus,21,,
907SDR000,907SDR000,Simocephalus,21,,
907SDR000,907SDR000,Coenagrionidae,81,,
907SDR000,907SDR000,Cricotopus,3,,
907SDR000,907SDR000,Culicidae,1,,
907SDR000,907SDR000,Acanthocyclops trajani,2,,
907SDR000,907SDR000,Ectocyclops phaleratus,2,,
907SDR000,907SDR000,Macrocyclops albidus,32,,
907SDR000,907SDR000,Dasyhelea,1,,
907SDR000,907SDR000,Dero,110,,
907SDR000,907SDR000,Dicrotendipes,7,,
907SDR000,907SDR000,Enochrus,3,,
907SDR000,907SDR000,Ephydridae,2,,
907SDR000,907SDR000,Ferrissia,1,,
907SDR000,907SDR000,Haemonais waldvogeli,41,,
907SDR000,907SDR000,Helobdella,1,,
907SDR000,907SDR000,Hyalella,58,,
907SDR000,907SDR000,Ischnura,36,,
907SDR000,907SDR000,Limnodrilus hoffmeisteri,1,,
907SDR000,907SDR000,Limnophyes,1,,
907SDR000,907SDR000,Ostracoda,3,,
907SDR000,907SDR000,Paraphaenocladius,1,,
907SDR000,907SDR000,Physa,14,,
907SDR000,907SDR000,Pristina leidyi,2,,
907SDR000,907SDR000,Procladius,1,,
907SDR000,907SDR000,Prostoma,3,,
907SDR000,907SDR000,Scirtidae,1,,
907SDR000,907SDR000,Sphaeromias,1,,
907SDR000,907SDR000,Syrphidae,1,,
907SDR000,907SDR000,Tanypus,3,,
907SDR000,907SDR000,Tipulidae,2,,
907SDR000,907SDR000,Tramea,10,,
907SDR000,907SDR000,Tubificidae,36,,
911DMP000,911DMP000,Aulodrilus,2,,
911DMP000,911DMP000,Buenoa,9,,
911DMP000,911DMP000,Arctodiaptomus dorsalis,2,,
911DMP000,911DMP000,Daphnia pulex ,229,,
911DMP000,911DMP000,Simocephalus,33,,
911DMP000,911DMP000,Corisella decolor,2,,
911DMP000,911DMP000,Corixidae,17,,
911DMP000,911DMP000,Acanthocyclops trajani,4,,
911DMP000,911DMP000,Macrocyclops albidus,3,,
911DMP000,911DMP000,Dero,29,,
911DMP000,911DMP000,Enallagma,1,,
911DMP000,911DMP000,Helisoma,2,,
911DMP000,911DMP000,Helobdella stagnalis,3,,
911DMP000,911DMP000,Hyalella,130,,
911DMP000,911DMP000,Piona,7,,
911DMP000,911DMP000,Trichocorixa,1,,
911DMP000,911DMP000,Tubificidae,8,,
911DMP000,911DMP000,Turbellaria,4,,
