StationCode,SampleID,Taxa,DistinctCode,Result,STE,distinct,Replicate 1,Replicate 2,Replicate 3,Replicate 4,Replicate 5,Replicate 6,Replicate 7,Replicate 8,Replicate 9,Replicate 10,Replicate 11,Replicate 12,Replicate 13,Replicate 14,Replicate 15,Replicate 16,Replicate 17,Replicate 18,Replicate 19,Replicate 20,MaxTol,Class,Order,FunctionalFeedingGroup,Family,subfamily
402DLG000,402DLG000,Aglaodiaptomus forbesi,,1,Aglaodiaptomus,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,Maxillopoda,Calanoida,CF,Diaptomidae,
402DLG000,402DLG000,Apedilum,,1,Chironominae,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,Insecta,Diptera,CG,Chironomidae,Chironominae
402DLG000,402DLG000,Arrenurus,,1,Arrenurus,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,Arachnida,Trombidiformes,P,Arrenuridae,
402DLG000,402DLG000,Callibaetis,,21,Callibaetis,Distinct,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,9,Insecta,Ephemeroptera,CG,Baetidae,
402DLG000,402DLG000,Coenagrionidae,,86,Coenagrionidae,Non-Distinct,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,9,Insecta,Odonata,P,Coenagrionidae,
402DLG000,402DLG000,Corynoneura,,2,Orthocladiinae,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,Insecta,Diptera,CG,Chironomidae,Orthocladiinae
402DLG000,402DLG000,Cricotopus,,4,Orthocladiinae,Distinct,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,Insecta,Diptera,CG,Chironomidae,Orthocladiinae
402DLG000,402DLG000,Cyprididae,,112,Cyprididae,Distinct,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,8,Ostracoda,Podocopida,CG,Cyprididae,
402DLG000,402DLG000,Dero,,26,Dero,Distinct,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,10,Oligochaeta,Tubificida,CG,Naididae,
402DLG000,402DLG000,Dicrotendipes,,1,Chironominae,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,Insecta,Diptera,CG,Chironomidae,Chironominae
402DLG000,402DLG000,Enallagma,,64,Enallagma,Distinct,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,9,Insecta,Odonata,P,Coenagrionidae,
402DLG000,402DLG000,Haliplus,,5,Haliplus,Distinct,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Insecta,Coleoptera,MH,Haliplidae,
402DLG000,402DLG000,Helisoma,,63,Helisoma,Distinct,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,6,Gastropoda,Basommatophora,SC,Planorbidae,
402DLG000,402DLG000,Nais,,6,Nais,Distinct,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,Oligochaeta,Tubificida,CG,Naididae,
402DLG000,402DLG000,Ostracoda,Yes,4,Ostracoda,Non-Distinct,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,Ostracoda,,CG,,
402DLG000,402DLG000,Oxyethira,,1,Oxyethira,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,Insecta,Trichoptera,PH,Hydroptilidae,
402DLG000,402DLG000,Phaenopsectra,,4,Chironominae,Distinct,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,Insecta,Diptera,SC,Chironomidae,Chironominae
402DLG000,402DLG000,Physa,,42,Physa,Distinct,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,8,Gastropoda,Basommatophora,SC,Physidae,
402DLG000,402DLG000,Piona,,1,Piona,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,Arachnida,Trombidiformes,P,Pionidae,
402DLG000,402DLG000,Simocephalus,,30,Simocephalus,Distinct,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,8,Branchipoda,Cladocera,CF,Daphniidae,
402DLG000,402DLG000,Tubificidae,,5,Tubificidae,Distinct,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,Oligochaeta,Tubificida,CG,Tubificidae,
404BFM002,404BFM002,Acanthocyclops trajani,,10,Acanthocyclops,Distinct,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,Maxillopoda,Calanoida,CG,Cyclopidae,
404BFM002,404BFM002,Alona,,2,Alona,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,Branchipoda,Cladocera,CF,Chydoridae,
404BFM002,404BFM002,Arctodiaptomus dorsalis,,1,Arctodiaptomus,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,Maxillopoda,Calanoida,CF,Diaptomidae,
404BFM002,404BFM002,Callibaetis,,1,Callibaetis,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,Insecta,Ephemeroptera,CG,Baetidae,
404BFM002,404BFM002,Corisella decolor,,16,Corisella,Distinct,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,Insecta,Hemiptera,P,Corixidae,
404BFM002,404BFM002,Corixidae,,40,Corixidae,Non-Distinct,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,8,Insecta,Hemiptera,P,Corixidae,
404BFM002,404BFM002,Cricotopus,,1,Orthocladiinae,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,Insecta,Diptera,CG,Chironomidae,Orthocladiinae
404BFM002,404BFM002,Cyprididae,,2,Cyprididae,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,Ostracoda,Podocopida,CG,Cyprididae,
404BFM002,404BFM002,Daphnia magna,,264,Daphnia,Distinct,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,8,Branchipoda,Cladocera,CF,Daphniidae,
404BFM002,404BFM002,Hyalella,,61,Hyalella,Distinct,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,8,Malacostraca,Amphipoda,CG,Hyalellidae,
404BFM002,404BFM002,Macrocyclops albidus,,6,Macrocyclops,Distinct,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,Maxillopoda,Calanoida,CG,Cyclopidae,
404BFM002,404BFM002,Ostracoda,,75,Ostracoda,Non-Distinct,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,8,Ostracoda,,CG,,
404BFM002,404BFM002,Simocephalus,,21,Simocephalus,Distinct,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,8,Branchipoda,Cladocera,CF,Daphniidae,
404BFM004,404BFM004,Acanthocyclops trajani,,14,Acanthocyclops,Distinct,14,13,13,14,14,13,13,14,14,14,13,13,14,14,14,13,14,14,11,14,8,Maxillopoda,Calanoida,CG,Cyclopidae,
404BFM004,404BFM004,Arctodiaptomus dorsalis,,9,Arctodiaptomus,Distinct,9,8,8,8,9,9,9,8,9,8,9,9,8,9,9,9,9,9,9,8,8,Maxillopoda,Calanoida,CF,Diaptomidae,
404BFM004,404BFM004,Bezzia/ Palpomyia,,1,Bezzia/ Palpomyia,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,Insecta,Diptera,P,Ceratopogonidae,Ceratopogoninae
404BFM004,404BFM004,Corisella decolor,,18,Corisella,Distinct,17,18,18,18,17,17,18,17,18,17,17,18,18,18,18,16,18,18,18,18,8,Insecta,Hemiptera,P,Corixidae,
404BFM004,404BFM004,Corixidae,,18,Corixidae,Non-Distinct,18,18,18,18,18,18,17,18,17,18,17,18,17,16,18,18,18,18,17,18,8,Insecta,Hemiptera,P,Corixidae,
404BFM004,404BFM004,Cricotopus,,2,Orthocladiinae,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,Insecta,Diptera,CG,Chironomidae,Orthocladiinae
404BFM004,404BFM004,Cyprididae,,1,Cyprididae,Distinct,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8,Ostracoda,Podocopida,CG,Cyprididae,
404BFM004,404BFM004,Daphnia magna,,330,Daphnia,Distinct,318,320,322,319,320,319,320,320,319,322,320,317,319,323,320,320,318,319,319,321,8,Branchipoda,Cladocera,CF,Daphniidae,
404BFM004,404BFM004,Dasyhelea,,1,Dasyhelea,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,Insecta,Diptera,CG,Ceratopogonidae,Dasyheleinae
404BFM004,404BFM004,Dero,,1,Dero,Distinct,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Oligochaeta,Tubificida,CG,Naididae,
404BFM004,404BFM004,Hyalella,,34,Hyalella,Distinct,33,33,33,32,34,33,32,32,33,32,32,32,34,31,32,33,31,33,32,33,8,Malacostraca,Amphipoda,CG,Hyalellidae,
404BFM004,404BFM004,Macrocyclops albidus,,4,Macrocyclops,Distinct,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,8,Maxillopoda,Calanoida,CG,Cyclopidae,
404BFM004,404BFM004,Ostracoda,,72,Ostracoda,Non-Distinct,70,69,67,70,68,69,70,69,68,68,70,72,69,68,67,71,71,69,72,66,8,Ostracoda,,CG,,
404BFM004,404BFM004,Physa,,3,Physa,Distinct,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,8,Gastropoda,Basommatophora,SC,Physidae,
404BFM004,404BFM004,Simocephalus,,7,Simocephalus,Distinct,6,7,6,7,6,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,8,Branchipoda,Cladocera,CF,Daphniidae,
404BFM004,404BFM004,Tanypus,,1,Tanypodinae,Distinct,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,10,Insecta,Diptera,P,Chironomidae,Tanypodinae
404BFM004,404BFM004,Tubificidae,,1,Tubificidae,Distinct,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Oligochaeta,Tubificida,CG,Tubificidae,
404BFM006,404BFM006,Acanthocyclops einslei,,1,Acanthocyclops,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,Maxillopoda,Calanoida,CG,Cyclopidae,
404BFM006,404BFM006,Acanthocyclops trajani,,11,Acanthocyclops,Distinct,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,Maxillopoda,Calanoida,CG,Cyclopidae,
404BFM006,404BFM006,Alona,,5,Alona,Distinct,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,Branchipoda,Cladocera,CF,Chydoridae,
404BFM006,404BFM006,Arctodiaptomus dorsalis,,2,Arctodiaptomus,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,Maxillopoda,Calanoida,CF,Diaptomidae,
404BFM006,404BFM006,Ceriodaphnia,,2,Ceriodaphnia,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,Branchiopoda,Cladocera,CF,Daphniidae,
404BFM006,404BFM006,Chironomus,,1,Chironominae,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Insecta,Diptera,CG,Chironomidae,Chironominae
404BFM006,404BFM006,Corisella decolor,,116,Corisella,Distinct,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,8,Insecta,Hemiptera,P,Corixidae,
404BFM006,404BFM006,Corixidae,,58,Corixidae,Non-Distinct,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,8,Insecta,Hemiptera,P,Corixidae,
404BFM006,404BFM006,Cricotopus,,1,Orthocladiinae,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,Insecta,Diptera,CG,Chironomidae,Orthocladiinae
404BFM006,404BFM006,Cyprididae,,2,Cyprididae,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,Ostracoda,Podocopida,CG,Cyprididae,
404BFM006,404BFM006,Daphnia magna,,2,Daphnia,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,Branchipoda,Cladocera,CF,Daphniidae,
404BFM006,404BFM006,Dasyhelea,,1,Dasyhelea,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,Insecta,Diptera,CG,Ceratopogonidae,Dasyheleinae
404BFM006,404BFM006,Dero,,4,Dero,Distinct,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,Oligochaeta,Tubificida,CG,Naididae,
404BFM006,404BFM006,Dicrotendipes,,3,Chironominae,Distinct,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,Insecta,Diptera,CG,Chironomidae,Chironominae
404BFM006,404BFM006,Hyalella,,54,Hyalella,Distinct,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,8,Malacostraca,Amphipoda,CG,Hyalellidae,
404BFM006,404BFM006,Macrocyclops albidus,,5,Macrocyclops,Distinct,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,Maxillopoda,Calanoida,CG,Cyclopidae,
404BFM006,404BFM006,Ostracoda,,200,Ostracoda,Non-Distinct,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,8,Ostracoda,,CG,,
404BFM006,404BFM006,Physa,,2,Physa,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,Gastropoda,Basommatophora,SC,Physidae,
404BFM006,404BFM006,Simocephalus,,8,Simocephalus,Distinct,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,Branchipoda,Cladocera,CF,Daphniidae,
404BFM006,404BFM006,Tanypus,,1,Tanypodinae,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Insecta,Diptera,P,Chironomidae,Tanypodinae
404BFM006,404BFM006,Tubificidae,,10,Tubificidae,Distinct,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Oligochaeta,Tubificida,CG,Tubificidae,
404CRX000,404CRX000,Ceriodaphnia,,2,Ceriodaphnia,Distinct,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,Branchiopoda,Cladocera,CF,Daphniidae,
404CRX000,404CRX000,Chironomus,,4,Chironominae,Distinct,4,4,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,10,Insecta,Diptera,CG,Chironomidae,Chironominae
404CRX000,404CRX000,Leptodiaptomus siciloides,,2,Leptodiaptomus,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,Maxillopoda,Calanoida,CF,Diaptomidae,
404CRX000,404CRX000,Oligochaeta,Yes,8,Oligochaeta,Distinct,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,7,8,8,8,8,5,Oligochaeta,,CG,,
404CRX000,404CRX000,Ostracoda,,495,Ostracoda,Distinct,484,484,485,484,485,485,484,484,484,486,484,485,484,484,484,485,484,484,484,484,8,Ostracoda,,CG,,
404NFP000,404NFP000,Acanthocyclops einslei,,35,Acanthocyclops,Distinct,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,8,Maxillopoda,Calanoida,CG,Cyclopidae,
404NFP000,404NFP000,Chironomus,,19,Chironominae,Distinct,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,Insecta,Diptera,CG,Chironomidae,Chironominae
404NFP000,404NFP000,Coenagrionidae,,9,Coenagrionidae,Distinct,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Insecta,Odonata,P,Coenagrionidae,
404NFP000,404NFP000,Corynoneura,,6,Orthocladiinae,Distinct,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,Insecta,Diptera,CG,Chironomidae,Orthocladiinae
404NFP000,404NFP000,Cricotopus,,19,Orthocladiinae,Distinct,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,7,Insecta,Diptera,CG,Chironomidae,Orthocladiinae
404NFP000,404NFP000,Dasyhelea,,2,Dasyhelea,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,Insecta,Diptera,CG,Ceratopogonidae,Dasyheleinae
404NFP000,404NFP000,Dero,,45,Dero,Distinct,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,10,Oligochaeta,Tubificida,CG,Naididae,
404NFP000,404NFP000,Dicrotendipes,,1,Chironominae,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,Insecta,Diptera,CG,Chironomidae,Chironominae
404NFP000,404NFP000,Ephydridae,,2,Ephydridae,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,Insecta,Diptera,CG,Ephydridae,
404NFP000,404NFP000,Eucyclops elegans,,2,Eucyclops,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,Maxillopoda,Calanoida,CG,Cyclopidae,
404NFP000,404NFP000,Ferrissia,,17,Ferrissia,Distinct,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,6,Gastropoda,Basommatophora,SC,Ancylidae,
404NFP000,404NFP000,Hyalella,,29,Hyalella,Distinct,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,8,Malacostraca,Amphipoda,CG,Hyalellidae,
404NFP000,404NFP000,Hydra,,8,Hydra,Distinct,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,Hydrozoa,Hydroida,P,Hydridae,
404NFP000,404NFP000,Macrocyclops albidus,,47,Macrocyclops,Distinct,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,8,Maxillopoda,Calanoida,CG,Cyclopidae,
404NFP000,404NFP000,Mesocyclops edax,,18,Mesocyclops,Distinct,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,8,Maxillopoda,Calanoida,CG,Cyclopidae,
404NFP000,404NFP000,Oligochaeta,Yes,9,Oligochaeta,Non-Distinct,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,Oligochaeta,,CG,,
404NFP000,404NFP000,Ostracoda,,9,Ostracoda,Distinct,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,Ostracoda,,CG,,
404NFP000,404NFP000,Physa,,20,Physa,Distinct,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,8,Gastropoda,Basommatophora,SC,Physidae,
404NFP000,404NFP000,Piona,,1,Piona,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,Arachnida,Trombidiformes,P,Pionidae,
404NFP000,404NFP000,Simocephalus,,166,Simocephalus,Distinct,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,8,Branchipoda,Cladocera,CF,Daphniidae,
404NFP000,404NFP000,Skistodiaptomus pallidus,,11,Skistodiaptomus,Distinct,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,Maxillopoda,Calanoida,CF,Diaptomidae,
404NFP000,404NFP000,Tubificidae,,13,Tubificidae,Distinct,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,Oligochaeta,Tubificida,CG,Tubificidae,
404NFP000,404NFP000,Unionicolidae,,2,Unionicolidae,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,Arachnida,Trombidiformes,P,Unionicolidae,
404ZUN000,404ZUN000,Acanthocyclops trajani,,97,Acanthocyclops,Distinct,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,8,Maxillopoda,Calanoida,CG,Cyclopidae,
404ZUN000,404ZUN000,Ceriodaphnia,,358,Ceriodaphnia,Distinct,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,8,Branchiopoda,Cladocera,CF,Daphniidae,
404ZUN000,404ZUN000,Chironomus,,1,Chironominae,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Insecta,Diptera,CG,Chironomidae,Chironominae
404ZUN000,404ZUN000,Ferrissia,,1,Ferrissia,Distinct,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,Gastropoda,Basommatophora,SC,Ancylidae,
404ZUN000,404ZUN000,Leptodiaptomus siciloides,,6,Leptodiaptomus,Distinct,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,Maxillopoda,Calanoida,CF,Diaptomidae,
404ZUN000,404ZUN000,Notonecta,,2,Notonecta,Distinct,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,Insecta,Hemiptera,P,Notonectidae,
